time,y0
0.00000000,1.00000000
0.01000000,0.98000000
0.02000000,0.96040000
0.03000000,0.94119200
0.04000000,0.92236816
0.05000000,0.90392080
0.06000000,0.88584238
0.07000000,0.86812553
0.08000000,0.85076302
0.09000000,0.83374776
0.10000000,0.81707281
0.11000000,0.80073135
0.12000000,0.78471672
0.13000000,0.76902239
0.14000000,0.75364194
0.15000000,0.73856910
0.16000000,0.72379772
0.17000000,0.70932177
0.18000000,0.69513533
0.19000000,0.68123262
0.20000000,0.66760797
0.21000000,0.65425581
0.22000000,0.64117070
0.23000000,0.62834728
0.24000000,0.61578034
0.25000000,0.60346473
0.26000000,0.59139544
0.27000000,0.57956753
0.28000000,0.56797618
0.29000000,0.55661665
0.30000000,0.54548432
0.31000000,0.53457463
0.32000000,0.52388314
0.33000000,0.51340548
0.34000000,0.50313737
0.35000000,0.49307462
0.36000000,0.48321313
0.37000000,0.47354887
0.38000000,0.46407789
0.39000000,0.45479633
0.40000000,0.44570040
0.41000000,0.43678640
0.42000000,0.42805067
0.43000000,0.41948965
0.44000000,0.41109986
0.45000000,0.40287786
0.46000000,0.39482031
0.47000000,0.38692390
0.48000000,0.37918542
0.49000000,0.37160171
0.50000000,0.36416968
0.51000000,0.35688629
0.52000000,0.34974856
0.53000000,0.34275359
0.54000000,0.33589852
0.55000000,0.32918055
0.56000000,0.32259694
0.57000000,0.31614500
0.58000000,0.30982210
0.59000000,0.30362566
0.60000000,0.29755314
0.61000000,0.29160208
0.62000000,0.28577004
0.63000000,0.28005464
0.64000000,0.27445354
0.65000000,0.26896447
0.66000000,0.26358518
0.67000000,0.25831348
0.68000000,0.25314721
0.69000000,0.24808427
0.70000000,0.24312258
0.71000000,0.23826013
0.72000000,0.23349493
0.73000000,0.22882503
0.74000000,0.22424853
0.75000000,0.21976356
0.76000000,0.21536829
0.77000000,0.21106092
0.78000000,0.20683970
0.79000000,0.20270291
0.80000000,0.19864885
0.81000000,0.19467587
0.82000000,0.19078236
0.83000000,0.18696671
0.84000000,0.18322737
0.85000000,0.17956283
0.86000000,0.17597157
0.87000000,0.17245214
0.88000000,0.16900310
0.89000000,0.16562303
0.90000000,0.16231057
0.91000000,0.15906436
0.92000000,0.15588307
0.93000000,0.15276541
0.94000000,0.14971011
0.95000000,0.14671590
0.96000000,0.14378158
0.97000000,0.14090595
0.98000000,0.13808783
0.99000000,0.13532608
1.00000000,0.13261956
1.01000000,0.12996716
1.02000000,0.12736782
1.03000000,0.12482047
1.04000000,0.12232406
1.05000000,0.11987757
1.06000000,0.11748002
1.07000000,0.11513042
1.08000000,0.11282781
1.09000000,0.11057126
1.10000000,0.10835983
1.11000000,0.10619264
1.12000000,0.10406878
1.13000000,0.10198741
1.14000000,0.09994766
1.15000000,0.09794871
1.16000000,0.09598973
1.17000000,0.09406994
1.18000000,0.09218854
1.19000000,0.09034477
1.20000000,0.08853787
1.21000000,0.08676712
1.22000000,0.08503177
1.23000000,0.08333114
1.24000000,0.08166451
1.25000000,0.08003122
1.26000000,0.07843060
1.27000000,0.07686199
1.28000000,0.07532475
1.29000000,0.07381825
1.30000000,0.07234189
1.31000000,0.07089505
1.32000000,0.06947715
1.33000000,0.06808761
1.34000000,0.06672585
1.35000000,0.06539134
1.36000000,0.06408351
1.37000000,0.06280184
1.38000000,0.06154580
1.39000000,0.06031489
1.40000000,0.05910859
1.41000000,0.05792642
1.42000000,0.05676789
1.43000000,0.05563253
1.44000000,0.05451988
1.45000000,0.05342948
1.46000000,0.05236089
1.47000000,0.05131368
1.48000000,0.05028740
1.49000000,0.04928165
1.50000000,0.04829602
1.51000000,0.04733010
1.52000000,0.04638350
1.53000000,0.04545583
1.54000000,0.04454671
1.55000000,0.04365578
1.56000000,0.04278266
1.57000000,0.04192701
1.58000000,0.04108847
1.59000000,0.04026670
1.60000000,0.03946137
1.61000000,0.03867214
1.62000000,0.03789870
1.63000000,0.03714072
1.64000000,0.03639791
1.65000000,0.03566995
1.66000000,0.03495655
1.67000000,0.03425742
1.68000000,0.03357227
1.69000000,0.03290083
1.70000000,0.03224281
1.71000000,0.03159795
1.72000000,0.03096599
1.73000000,0.03034667
1.74000000,0.02973974
1.75000000,0.02914495
1.76000000,0.02856205
1.77000000,0.02799081
1.78000000,0.02743099
1.79000000,0.02688237
1.80000000,0.02634472
1.81000000,0.02581783
1.82000000,0.02530147
1.83000000,0.02479544
1.84000000,0.02429953
1.85000000,0.02381354
1.86000000,0.02333727
1.87000000,0.02287053
1.88000000,0.02241312
1.89000000,0.02196485
1.90000000,0.02152556
1.91000000,0.02109505
1.92000000,0.02067314
1.93000000,0.02025968
1.94000000,0.01985449
1.95000000,0.01945740
1.96000000,0.01906825
1.97000000,0.01868688
1.98000000,0.01831315
1.99000000,0.01794688
2.00000000,0.01758795
